# NIMCP toxicity classifier — pattern rules (TSV, tab-separated)
#
# Format (5 tab-separated columns):
#   category   harm_weight   fairness_weight   posix_regex   description
#
# Categories:
#   - allowlist:                Anti-toxic patterns. ANY match short-circuits
#                               classify() to a clean result (no flag, even if
#                               toxic patterns would otherwise match). Used to
#                               protect explicit anti-toxic speech like "X are
#                               not subhuman" from false-positive flagging.
#   - dehumanization:           Demographic group + dehumanizing predicate.
#   - violence_against_group:   Direct violence call against a group.
#   - slurs_external:           Pseudo-row whose regex is the marker
#                               "__LOAD_FROM_FILE__<path>". The loader sources
#                               additional patterns (one per line) from that
#                               file. Default path: data/safety/slurs.txt
#                               (not shipped — populate from a curated source
#                               like Hatebase before deployment).
#
# Notes:
#   - Comments start with '#'. Blank lines ignored.
#   - Patterns use POSIX extended regex (REG_EXTENDED | REG_ICASE | REG_NEWLINE).
#   - POSIX ERE does NOT support lookbehind/lookahead, so negation cases
#     ("X are NOT subhuman") are handled via the allowlist short-circuit
#     rather than inline regex negation.
#   - harm_weight populates predicted_harm via max() across matched rules.
#   - fairness_weight populates fairness_violation via max() across matched rules.
#   - These are *seed* rules: conservative, high-precision, low-recall. They
#     intentionally miss subtle/coded toxicity. Pair with an ML model in
#     production.
#
# Design principle: demographic descriptors below are NEUTRAL words. Toxicity
# comes from the COMBINATION (group + dehumanizing/violent predicate).
#
##VERSION 2

# ============================================================================
# ALLOWLIST — anti-toxic constructions. Short-circuits classify() on match.
# ============================================================================

# "X are/aren't NOT subhuman/inferior/animals/etc." — explicit anti-dehumanization.
# The same predicates that flag in dehumanization category are anti-toxic here
# when preceded by negation.
violence_against_group	1.0	1.0	\b(kill|gas|deport|exterminate|eliminate|hang|lynch|murder|slaughter|wipe\s+out|rape|enslave|behead|crucify|round\s+up)\s+(all\s+)?(the\s+)?((jew|muslim|christian|hindu|buddhist|catholic|protestant|black|white|asian|latino|hispanic|arab|african|mexican|chinese|japanese|korean|indian|pakistani|nigerian|gay|lesbian|trans|transgender|queer|immigrant|refugee)s?|men|women|kids|children|people|persons|babies)(\s+(people|folks|men|women|kids|children))?\b	Direct violence imperative against demographic group

# Death-to-group framing
violence_against_group	1.0	1.0	\bdeath\s+to\s+(all\s+|the\s+)?(jew|muslim|christian|hindu|buddhist|catholic|protestant|black|white|asian|latino|hispanic|arab|african|mexican|chinese|japanese|korean|indian|pakistani|nigerian|gay|lesbian|trans|transgender|queer|immigrant|refugee|american|european)s?(\s+(people|folks))?\b	"Death to X" — explicit violence call

# Genocide framing
violence_against_group	1.0	1.0	\bgenocide\s+(of|against|on)\s+(the\s+)?(jew|muslim|christian|hindu|black|white|asian|latino|hispanic|arab|african|mexican|chinese|japanese|korean|indian|pakistani|nigerian|american|european|gay|lesbian|trans|transgender|immigrant|refugee)s?(\s+(people|folks))?\b	Explicit genocide call

# "X should (all) be killed/gassed/deported/etc." — passive violence.
# Optional " people/folks" infix between group and "should".
violence_against_group	0.9	1.0	\b((jew|muslim|christian|hindu|buddhist|catholic|protestant|black|white|asian|latino|hispanic|arab|african|mexican|chinese|japanese|korean|indian|pakistani|nigerian|gay|lesbian|trans|transgender|queer|immigrant|refugee)s?|men|women|kids|children)(\s+(people|folks|men|women|kids|children))?\s+should\s+(all\s+)?be\s+(killed|gassed|deported|exterminated|eliminated|hanged|lynched|murdered|removed|enslaved|raped|beheaded|rounded\s+up)\b	"Group should be killed" — passive violence

# ============================================================================
# EXTERNAL SLUR LIST (optional)
# ============================================================================
#
# Loads one POSIX-extended regex per line from data/safety/slurs.txt if it
# exists. NOT shipped with the repo — populate from a curated source like
# Hatebase (https://hatebase.org/) or Jigsaw's Perspective taxonomy before
# deploying. If the file is missing, this row is silently skipped and the
# classifier still works without slur coverage.

slurs_external	1.0	1.0	__LOAD_FROM_FILE__data/safety/slurs.txt	Sourced from external curated slur list (file optional)
